chapter,ref
Chapter 6: Dānapāramitā,/polyglotta/index.php?page=record&vid=233&level=1&cid=326962
Chapter 7: Śīlapāramitā,/polyglotta/index.php?page=record&vid=233&level=1&cid=326964
Chapter 8: Kṣāntipāramitā,/polyglotta/index.php?page=record&vid=233&level=1&cid=326966
Chapter 9: Vīryapāramitā,/polyglotta/index.php?page=record&vid=233&level=1&cid=326968
Chapter 10: Dhyānapāramitā,/polyglotta/index.php?page=record&vid=233&level=1&cid=326970
Chapter 11: Prajñāpāramitā,/polyglotta/index.php?page=record&vid=233&level=1&cid=326972
Colophon,/polyglotta/index.php?page=record&vid=233&level=1&cid=326974
,/polyglotta/index.php?page=record&vid=523&level=&cid=
,/polyglotta/index.php?page=record&vid=417&level=&cid=
Title,/polyglotta/index.php?page=record&vid=1156&level=1&cid=870550
Chapter I: Nidāna,/polyglotta/index.php?page=record&vid=1156&level=1&cid=870551
Chapter II: Praṇidhānacaryā,/polyglotta/index.php?page=record&vid=1156&level=1&cid=870599
§0-4,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771369
§5,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771374
§6,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771387
§7,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771388
§8,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771389
§9,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771390
§10,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771391
§11-12,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771392
§13,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771394
§14,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771395
§15,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771396
§16,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771397
§17,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771398
§18,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771399
§19,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771400
§20,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771401
§21,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771402
§22,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771403
§23,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771404
Colophon,/polyglotta/index.php?page=record&vid=1020&level=1&cid=771405
"CHAPTER ONE. RĀVANA, LORD OF LANKĀ, ASKS FOR INSTRUCTION",javascript:;
Verse 1-3,/polyglotta/index.php?page=record&vid=441&level=2&cid=409427
Verse 4-44,/polyglotta/index.php?page=record&vid=441&level=2&cid=409431
Initial questions,/polyglotta/index.php?page=record&vid=441&level=2&cid=409472
CHAPTER TWO. COLLECTION OF ALL THE DHARMAS,javascript:;
"§I: Mahāmati Praises the Buddha with Verses, verse 1-8",/polyglotta/index.php?page=record&vid=441&level=2&cid=409487
"§II: Mahāmati's “One Hundred and Eight Questions”, verse 9-25",/polyglotta/index.php?page=record&vid=441&level=2&cid=409496
verse 26-50,/polyglotta/index.php?page=record&vid=441&level=2&cid=409515
verse 51-75,/polyglotta/index.php?page=record&vid=441&level=2&cid=409540
verse 76-97,/polyglotta/index.php?page=record&vid=441&level=2&cid=409565
